topiId,topicProb,topicName,topicWords
38,0.01224,place,crouch_end muswell_hill north_london barnet finchley opera_tavern salt_yard southgate cockfosters chateau east_finchley ember_yard green_dragon palmer_green arkley winchmore_hill wood_green melange incanto clissold_arm
39,0.08488,date night,starter main_course starter_main lamb prawn wine dessert lamb_shank saturday_night night appetizer bottle_wine wife main_dish two_starter last_night starter_very sea_bass friday_night reservation
40,0.00438,mixed,sophie chris sophies lal_qila warren_street agra rahman new_cross salami sophie_steakhouse capital indian_lounge miracle tottenham_court chris_brown theatre_menu alpaca lion_king outlaw calamari
41,0.02774,american,rib wing bbq pork meat chicken_wing big_easy platter bodeans brisket coleslaw bbq_sauce buffalo_wing mac_cheese beef_rib american pork_rib side fries sauce
42,0.0377,wine,wine cheese wine_bar bottle wine_list glass_wine glass great_wine bottle_wine good_wine platter selection food_wine cheese_board wine_selection cellar wine_glass bar selection_wine charcuterie
43,0.00887,places,hornchurch upminster phoenix rocca woodman ember_inn green_man shepherd_dog nags_head dulwich telegraph thatched_house essex clarke village eddie eastcote dulwich_village restaurant_hornchurch towie
44,0.00643,places,cafe_rouge westminster big_ben cinnamon_club library rouge westminster_abbey abbey park_plaza house_parliament pinner parliament charlie_chocolate café_rouge james_park indigo westminster_bridge cinnamon_soho red_lion blue_boar
45,0.01457,places,soho central_london heart_soho balans carnaby_street street dean_street west_end kingly_court restaurant_soho old_compton soho_restaurant pre_theatre theatre place_soho show soho_branch carnaby greek_street wardour_street
46,0.14203,great meal,set_menu good_value main_course very_good three_course wine deal two_course offer starter great_value excellent_value course_meal value_money carte course_menu money food_very food_excellent dessert
47,0.12595,coffee_shop,coffee cafe cake cat sandwich café pastry coffee_shop croissant deli salad counter coffee_cake cappuccino tea latte bakery bread snack morning
48,0.35172,mixed,taste tasty authentic good delicious sauce chicken meat spicy flavour portion cuisine beer rice very_tasty hot food_not traditional food_very fresh
49,0.00547,japanese,chef petrus front vapiano counter amaya okonomiyaki class card benihana show fun cook cooking chef_table teppanyaki experience chocolate_sphere right_front open_kitchen
50,0.05236,pizza,pizza topping base best_pizza dough pizza_very pizzeria oven pizza_good good_pizza ingredient crust italian pizza_pasta pizza_place great_pizza pizza_great franco_manca cheese mozzarella
51,0.00265,indian non-veg,strada benares tamarind banana_tree bea masti strada_restaurant combo homeslice soft_shell neal_yard indian_essence atul_kochhar paper_plate goat_shoulder chicken_mushroom lentil red_letter seafood_linguine berkeley_square
52,0.27302,staff,waitress drink chicken salad child burger kitchen cold bad hot wife hard manager bar long dessert member_staff ice_cream chef daughter
53,0.03776,places,covent_garden pre_theatre theatre show garden central_london leicester_square west_end theatre_meal theater theatre_menu strand performance theatre_dinner play square post_theatre great_location very_busy wife
54,0.93267,service,good service bill experience food_not starter average food_good nice very_good group waitress drink poor main_course food_very fact not_even not_very partner
55,0.01113,places,clapham trinity battersea clapham_junction jack northcote_road clapham_common battersea_park clapham_high common jam_tree south_london gola donna_margherita lavender_hill junction abbeville hood ben_canteen balham
56,0.0031,friday drinks,mussel tgi tgi_friday belgo belgian_beer jack_daniel belgian moules rib tgis friday tgif starter belgium fajitas covent_garden burger frites fries nacho
57,0.00551,german,german polish vodka schnitzel sausage russian austrian dumpling polish_food goulash hungarian stein baltic georgian pierogi german_beer sauerkraut german_food bratwurst polish_restaurant
58,0.55482,bad food,good poor bland hard bad quality standard small average chef sadly shame expensive much_better fine tasteless nice decent dry close
59,0.09141,pub,cocktail bar drink cocktail_bar great_cocktail night amazing happy_hour great martini waitress bar_staff cocktail_menu music cocktail_great bar_area cocktail_very drink_bar bartender saturday_night
60,0.02221,hotels,hotel_restaurant breakfast toby stay chef hilton bed carvery meat buffet toby_carvery staff_very restaurant_hotel morning breakfast_buffet very_good turkey lobby night clean
61,0.00691,places,paul paul_cathedral barbecoa madison cathedral bread_street blackfriar first_date pauls_cathedral city view_paul pauls pork_scratching jamie_oliver duck_fat great_view short_rib pit_beef kitchen one_new
62,0.00573,european,ping_pong roka charlotte_street pong quaglino fitzrovia sunbury charlotte bounce quaglinos table_tennis goodge_street premium_tasting lantana zafferano ninth magpie ping ball barnyard
63,0.30617,service,very_good good good_food food_good wife street food_very staff_very central_london husband pound good_service station reasonable_price tourist very_friendly excellent night nearby close
64,0.00769,british,jamie jamie_oliver jamie_italian westfield pasta stratford jamies fifteen oliver special jamie_restaurant italian plank olive starter bread polenta_chip jamie_olive westfield_shopping jamies_italian
65,0.01087,carribean,jerk_chicken caribbean rice_pea goat jerk caribbean_food turtle_bay plantain rum roti curry_goat jamaican walthamstow sweet_potato goat_curry caribbean_restaurant pea rum_kitchen rum_punch west_indian
66,0.03084,child friendly,kid child year_old daughter adult son planet_hollywood rainforest_cafe animal family cafe birthday ice_cream expensive kid_meal fun happy_birthday child_friendly rainforest young_child
67,0.01622,pub,wetherspoons beckenham weatherspoons crystal_palace breakfast wetherspoon spoon cheap mcdonalds bexleyheath mcdonald good_value wetherspoons_pub usual wetherspoon_pub steak deal money food_drink great_value
68,0.02429,thai,thai thai_food thai_restaurant pad_thai curry green_curry thailand noodle rice thai_green best_thai authentic_thai spring_roll busaba spicy prawn red_curry sticky_rice soup chicken_satay
69,0.01102,japanese,ramen wagamama noodle broth soup gyoza japanese curry wagamamas japan katsu_curry pork tonkotsu udon chicken_katsu egg bowl asian_food green_tea noodle_bar
70,0.01016,places,british_museum bloomsbury holborn museum russell_square inamo game interactive_table chiltern_firehouse fun system ipad tottenham_court interactive maltese concept holborn_tube technology cosmoba southampton_row
71,0.00642,portuguese,zizzi portuguese portugal zizzis portuguese_food denise zizzi_restaurant portuguese_restaurant portugese zizi skewer rustica_pizza pork bread rustica mirage madeira roz_ana nata garlic_bread
