topiId,topicProb,topicName,topicWords
161,0.02444,place,city colleague business_lunch client city_london bank office henry fleet_street meeting davy heart_city leadenhall_market work_colleague heart history banker d'argent city_restaurant vault
162,0.16807,ambeince,reservation very_busy busy booking noisy great great_food amazing good group delicious fun popular loud atmosphere full advance fantastic table_not noise
163,0.00271,duck sushi,duck_waffle waffle th_floor sushi_samba lift heron_tower pig_ear enfield signature_dish sushisamba duck glass_lift ear gherkin elevator foie_gras signature_duck city samba small_plate
164,0.00754,places,wimbledon stick wimbledon_village village pix danish ametsa basque launceston_place catford tennis raynes_park fox_grape stick_sushi common restaurant_wimbledon skewer aya collier_wood pintxos
165,0.00551,service,bill pancake breakfast_club fish_pie old_dutch service_charge bill_restaurant jackson_rye maple_syrup pie american_breakfast full_monty fridge savoury_pancake limeyard rib sweet_potato fish_finger high_street dutch
166,0.00909,places,victoria victoria_station station tom pimlico buckingham_palace belgravia wicked palace close_victoria scalzo theatre victoria_coach rubens coach green_pea coach_station grosvenor pre_theatre bbar
167,0.19061,fast_food,fast_food counter queue salad fresh sandwich branch wrap store tasty healthy fast quick box great hot quick_bite snack cheap bite
168,0.0045,piano,pianist palm_court piano piano_player fondue joe_allen bingham live_piano connaught langham roux_landau piano_playing piano_music swiss live_pianist copper grand_piano landau artesian helene_darroze
169,0.1169,fine dining,main_course wine pudding soup risotto bread excellent salmon fish good lovely steak special sea_bass goat_cheese dessert starter coffee cheese duck
170,0.68514,staff,owner amazing very_friendly delicious home great friendly highly definitely_back fantastic great_food lovely excellent friendly_staff chef one_best perfect great_service wonderful staff_very
171,0.16589,service,very_good excellent wine wine_list good service great main_course perfect service_very food_service not_cheap superb service_excellent one_best glass ambience outstanding bill attentive
172,0.32695,service,night family staff_very starter party very_good food_service food_excellent food_very saturday_night child first_time last_night wife group main_course food_always good_service good_food occasion
173,0.13987,dining experience,flavour delicious dessert cuisine interesting taste experience unique combination favourite ingredient amazing selection concept chef flavor dish_not ice_cream unusual modern
174,0.0108,ambeince,view_london great_view window_table amazing_view bar shard window_seat lift city table_window view_amazing brasserie th_floor stunning_view fantastic_view hutong oxo_tower drink oblix night
175,0.03772,art_food,champagne dining_room beautiful ritz bar glass_champagne grand decor surroundings wonderful stunning setting elegant dorchester experience gorgeous high_ceiling ceiling special_occasion art_deco
176,0.01789,spanish,tapa spanish paella spain chorizo tapa_bar sangria tortilla patatas_bravas tasca spanish_food octopus sherry tapa_dish spanish_restaurant wine croquette tapas spanish_tapa ham
177,0.0242,turkish,turkish turkish_restaurant turkish_food kebab bread grill meze salad meat turkey lamb platter shish baklava dip pide hummus mezze rice chicken_shish
178,0.01939,place,market borough_market camden hill london_bridge portobello_road notting_hill camden_town camden_market portobello borough stall portobello_market hill_gate shard camden_lock bridge saturday street_food applebee
179,0.00985,places,islington upper_street angel casino prison mercury clink upper sadlers_well prisoner angel_tube pera frederick heliot mem_laz almeida gallipoli trullo security highbury
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,*********************************************************************************************************************************
